iteration,time,throughput (img/s),loss,top1-accuracy,top5-accuracy
4830,3245,352.4,7.254,0.000,0.000
4840,3245,352.4,7.254,0.000,0.004
4850,3245,352.4,7.254,0.000,0.008
4860,3245,352.4,7.254,0.000,0.008
4870,3245,352.4,7.254,0.000,0.008
4880,3245,352.4,7.255,0.000,0.008
4890,3245,352.4,7.254,0.000,0.004
4900,3245,352.3,7.254,0.004,0.004
4910,3245,352.3,7.254,0.000,0.000
4920,3245,352.3,7.254,0.000,0.012
4930,3245,352.3,7.254,0.000,0.000
4940,3245,352.4,7.254,0.000,0.000
4950,3245,352.4,7.254,0.000,0.004
4960,3245,352.4,7.254,0.004,0.004
4970,3245,352.4,7.255,0.000,0.004
4980,3245,352.3,7.254,0.004,0.008
4990,3245,349.9,7.254,0.004,0.008
5000,3717,350.0,7.254,0.000,0.012
5010,3717,350.0,7.254,0.000,0.008
5020,3717,350.1,7.255,0.000,0.000
5030,3717,350.2,7.254,0.000,0.000
5040,3717,350.2,7.254,0.000,0.000
5050,3717,350.3,7.254,0.000,0.000
5060,3717,350.4,7.254,0.000,0.004
5070,3717,350.4,7.254,0.000,0.000
5080,3717,350.4,7.254,0.008,0.020
5090,3717,350.4,7.254,0.000,0.012
5100,3717,350.5,7.254,0.000,0.004
5110,3717,350.4,7.254,0.000,0.008
5120,3717,350.4,7.254,0.000,0.000
5130,3717,350.4,7.254,0.004,0.004
5140,3717,350.4,7.254,0.004,0.016
5150,3717,350.5,7.254,0.004,0.004
5160,3717,350.5,7.254,0.004,0.008
5170,3717,350.4,7.254,0.004,0.012
5180,3717,350.4,7.254,0.000,0.000
5190,3717,350.4,7.254,0.000,0.004
5200,3717,350.4,7.254,0.004,0.008
5210,3717,350.5,7.254,0.004,0.012
5220,3717,350.4,7.254,0.000,0.004
5230,3717,350.5,7.254,0.004,0.012
5240,3717,350.4,7.254,0.000,0.008
5250,3717,350.5,7.254,0.000,0.004
5260,3717,350.5,7.254,0.000,0.000
5270,3717,350.5,7.254,0.000,0.012
5280,3717,350.5,7.255,0.000,0.004
5290,3717,350.5,7.254,0.000,0.016
5300,3717,350.5,7.254,0.000,0.000
5310,3717,350.4,7.254,0.000,0.000
5320,3717,350.4,7.254,0.000,0.008
5330,3717,350.4,7.254,0.000,0.000
5340,3717,350.5,7.254,0.000,0.004
5350,3717,350.4,7.254,0.000,0.004
5360,3717,350.5,7.254,0.000,0.000
5370,3717,350.4,7.254,0.000,0.012
5380,3717,350.5,7.254,0.000,0.000
5390,3717,350.5,7.254,0.000,0.008
5400,3717,350.5,7.254,0.000,0.004
5410,3717,350.5,7.254,0.008,0.016
5420,3717,350.5,7.254,0.000,0.000
5430,3717,350.5,7.254,0.000,0.004
5440,3717,350.5,7.254,0.000,0.000
5450,3717,350.4,7.254,0.000,0.008
5460,3717,350.5,7.254,0.000,0.004
5470,3717,350.5,7.254,0.000,0.000
5480,3717,350.5,7.254,0.000,0.004
5490,3717,350.5,7.254,0.000,0.000
5500,3717,350.5,7.254,0.000,0.000
5510,3717,350.4,7.254,0.000,0.004
5520,3717,350.4,7.254,0.004,0.004
5530,3717,350.5,7.254,0.004,0.008
5540,3717,350.4,7.254,0.000,0.000
5550,3717,350.4,7.254,0.008,0.020
5560,3717,350.4,7.254,0.004,0.004
5570,3717,350.4,7.254,0.000,0.000
5580,3717,350.4,7.254,0.000,0.008
5590,3717,350.4,7.254,0.000,0.000
5600,3717,350.4,7.254,0.000,0.004
5610,3717,350.4,7.254,0.004,0.008
5620,3717,350.4,7.254,0.004,0.012
5630,4178,350.4,7.254,0.000,0.004
5640,4178,350.4,7.254,0.000,0.000
5650,4178,350.3,7.254,0.000,0.004
5660,4178,350.4,7.254,0.008,0.008
5670,4178,350.3,7.254,0.000,0.008
5680,4178,350.3,7.254,0.000,0.008
5690,4178,350.4,7.254,0.000,0.004
5700,4178,350.3,7.254,0.000,0.004
5710,4178,350.3,7.254,0.000,0.004
5720,4178,350.3,7.254,0.000,0.004
5730,4178,350.3,7.254,0.000,0.008
5740,4178,350.3,7.254,0.000,0.004
5750,4178,350.3,7.254,0.000,0.004
5760,4178,350.3,7.254,0.000,0.008
5770,4178,350.3,7.254,0.000,0.004
5780,4178,350.3,7.254,0.000,0.004
5790,4178,350.3,7.254,0.000,0.008
5800,4178,350.3,7.254,0.000,0.000
5810,4178,350.3,7.254,0.000,0.012
5820,4178,350.3,7.254,0.000,0.004
5830,4178,350.3,7.254,0.000,0.008
5840,4178,350.3,7.254,0.000,0.004
5850,4178,350.3,7.254,0.000,0.000
5860,4178,350.3,7.254,0.004,0.004
5870,4178,350.3,7.254,0.000,0.008
5880,4178,350.3,7.254,0.004,0.008
5890,4178,350.3,7.254,0.000,0.004
5900,4178,350.3,7.254,0.004,0.012
5910,4178,350.3,7.254,0.000,0.012
5920,4178,350.3,7.254,0.000,0.000
5930,4178,350.4,7.254,0.004,0.004
5940,4178,350.4,7.254,0.004,0.004
5950,4178,350.4,7.254,0.000,0.000
5960,4178,350.4,7.254,0.000,0.000
5970,4178,350.4,7.254,0.000,0.004
5980,4178,350.4,7.254,0.000,0.004
5990,4178,350.4,7.254,0.000,0.000
6000,4178,350.4,7.254,0.000,0.008
6010,4178,350.4,7.254,0.004,0.008
6020,4178,350.4,7.254,0.000,0.008
6030,4178,350.5,7.254,0.004,0.012
6040,4178,350.4,7.254,0.000,0.000
6050,4178,350.4,7.254,0.000,0.004
6060,4178,350.4,7.254,0.000,0.004
6070,4178,350.4,7.254,0.000,0.000
6080,4178,350.5,7.254,0.004,0.012
6090,4178,350.5,7.254,0.000,0.000
6100,4178,350.5,7.254,0.000,0.004
6110,4178,350.4,7.254,0.000,0.000
6120,4178,350.4,7.254,0.000,0.000
6130,4178,350.4,7.254,0.000,0.000
6140,4178,350.5,7.254,0.000,0.000
6150,4178,350.4,7.254,0.000,0.004
6160,4178,350.4,7.254,0.000,0.008
6170,4178,350.4,7.254,0.000,0.004
6180,4178,350.5,7.254,0.000,0.008
6190,4178,350.5,7.254,0.000,0.008
6200,4178,350.5,7.254,0.004,0.020
6210,4178,350.4,7.254,0.000,0.000
6220,4178,350.4,7.254,0.008,0.020
6230,4178,350.4,7.254,0.000,0.000
6240,4178,350.4,7.254,0.000,0.004
6250,4178,350.4,7.254,0.000,0.000
6260,4639,350.3,7.254,0.000,0.004
6270,4639,350.4,7.254,0.000,0.000
6280,4639,350.4,7.254,0.004,0.008
6290,4639,350.4,7.254,0.000,0.012
6300,4639,350.4,7.254,0.000,0.004
6310,4639,350.4,7.254,0.000,0.008
